,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,Year
665,"Collage #1 (""Blue Suede"")",James Tenney,spotify:track:70klYxQLBSSonN3KrbNU0l,0.31,0.7070000000000001,11,-12.054,1,0.509,0.912,0.0562,0.10800000000000001,0.37,56.028,206067,4,17.18683,9,0,2000
666,Oxygen Corrosion,Insect Warfare,spotify:track:0pbqL0YsmbwdzRdEVRg7bK,0.222,0.9940000000000001,1,-5.394,1,0.125,0.00010700000000000001,0.000408,0.18100000000000002,0.0247,66.222,53453,3,0.0,2,0,2000
667,That's How Country Boys Roll,Billy Currington,spotify:track:7KnMHRj5xqsOGLv8lGCPa6,0.677,0.919,2,-3.009,1,0.0344,0.054000000000000006,1.48e-06,0.113,0.902,120.961,224267,4,22.10361,11,1,2000
668,Taste of Blood,Slaughter Lord,spotify:track:6j2MEc7WIrDzfMUs3iSopy,0.191,0.9890000000000001,11,-10.552999999999999,0,0.32899999999999996,0.0229,0.249,0.35600000000000004,0.0377,85.219,197307,4,43.007529999999996,9,0,2000
669,Then They Do,Trace Adkins,spotify:track:7tUZJ2ZcRZXYZQlV7CsMB2,0.44799999999999995,0.45299999999999996,10,-6.563,1,0.0286,0.273,0.000342,0.0751,0.359,149.815,270893,4,29.33115,15,1,2000
670,ObZen,Meshuggah,spotify:track:4PHppm7v48ys7YrVelKSYq,0.149,0.9990000000000001,5,-4.225,1,0.114,3.17e-06,0.91,0.518,0.322,85.03,264413,4,45.46376,11,0,2000
671,Walking On A Dream,Empire of the Sun,spotify:track:0mBkoM8r7KAQzZij5swTUL,0.87,0.6990000000000001,5,-5.541,0,0.0459,0.245,6.76e-06,0.0588,0.726,126.96700000000001,198440,4,31.29151,9,0,2000
672,U Remind Me,Usher,spotify:track:2QsZVnbWVSjKMXK6K3uRBL,0.657,0.629,6,-4.938,1,0.0782,0.19399999999999998,0.0,0.254,0.726,93.985,266893,4,37.0818,14,1,2000
673,Sheena Is A Parasite,The Horrors,spotify:track:4gQP59lYowoVb9hlYMKboc,0.267,0.932,9,-4.981,0,0.158,2.42e-06,0.174,0.0396,0.41100000000000003,172.31799999999998,102440,4,22.97723,5,0,2000
674,Rock of Gibraltar,Trumans Water,spotify:track:0MwzDfNlkrjO8fkjAdQgJD,0.158,0.8390000000000001,2,-4.3260000000000005,1,0.086,2.45e-05,0.9279999999999999,0.113,0.134,132.885,171693,4,114.44852,6,0,2000
675,Could It Be,Jaheim,spotify:track:1eDmhyYxYa8VG360HVPzUh,0.655,0.5529999999999999,9,-6.854,0,0.0891,0.0636,1.73e-05,0.126,0.531,70.033,224667,4,23.93606,7,1,2000
676,Death Metal,Vader,spotify:track:7xQRR6gqZkngT3AFpUiKlF,0.214,0.9590000000000001,9,-4.791,1,0.12300000000000001,3.8900000000000004e-05,0.8640000000000001,0.0865,0.298,126.60600000000001,158360,4,63.70952,6,0,2000
677,Beer For My Horses,Toby Keith Duet With Willie Nelson,spotify:track:7E2DqvnVtbIrFrL5X6YH9Q,0.7170000000000001,0.85,10,-5.329,1,0.0473,0.368,0.0,0.0495,0.805,119.005,204000,4,30.96252,12,1,2000
678,Sen No Yoru Wo Koete,Aqua Timez,spotify:track:1N96Zrw2aAQVA9baB0gXPq,0.377,0.777,1,-3.784,1,0.0307,0.0422,0.0,0.11800000000000001,0.519,87.80799999999999,293187,4,36.703309999999995,12,0,2000
679,Balla Baby,Chingy,spotify:track:6HFXjB2fvQUBuE3B5kmvfW,0.9279999999999999,0.643,11,-5.48,0,0.0759,0.0527,0.0,0.0988,0.895,93.006,215907,4,26.76394,9,1,2000
680,I'm a Metal Head (Reprise),Apokalyptic Raids,spotify:track:01WpWVOHUCe7yICDPHwesF,0.266,0.9490000000000001,8,-8.649,1,0.0531,0.000103,0.121,0.0739,0.23199999999999998,160.623,65000,4,32.903859999999995,4,0,2000
681,Locked Up,Akon Featuring Styles P.,spotify:track:0YUrjFy4qFKOO5NhM9tYdV,0.828,0.58,7,-4.395,1,0.0941,0.0255,0.0,0.10300000000000001,0.40700000000000003,89.973,235067,4,34.37934,10,1,2000
682,I,Benn Jordan,spotify:track:46uuuGgjsgmD7mYFBJul5J,0.268,0.34600000000000003,10,-18.869,1,0.0307,0.75,0.828,0.28300000000000003,0.376,144.313,186228,4,21.141029999999997,7,0,2000
683,Even The Sand Is Made Of Seashells,Thursday,spotify:track:4W9F7z80oilOCTLIDsXdvS,0.289,0.7809999999999999,10,-5.981,0,0.037000000000000005,0.0195,0.0633,0.128,0.19399999999999998,120.259,250493,4,28.89805,13,0,2000
684,Honey,Erykah Badu,spotify:track:2z4ypE6YI1mybsczNx4eRU,0.39899999999999997,0.802,6,-7.869,0,0.35,0.0273,0.00387,0.187,0.43700000000000006,87.818,320973,4,41.45883,14,1,2000
685,Exterminate Annihilate Destroy,Rotersand,spotify:track:7nkE8IOqy4ZYFIjpd3CQMa,0.574,0.9209999999999999,0,-5.747000000000001,0,0.0695,0.00157,0.475,0.669,0.257,121.995,317173,4,33.4943,6,0,2000
686,If I Had Eyes,Jack Johnson,spotify:track:3FnkZFv7kbxwlgaLgbqeDc,0.794,0.569,2,-8.057,1,0.0371,0.6629999999999999,0.00343,0.0898,0.706,92.915,238813,4,33.51435,12,1,2000
687,Barlights,fun.,spotify:track:4HBeHxm71PBKrc6MGtnAaZ,0.5529999999999999,0.7240000000000001,9,-5.531000000000001,1,0.067,0.16,0.0,0.0959,0.508,133.97799999999998,257360,4,37.967209999999994,8,0,2000
688,Can't Hold Us Down,Christina Aguilera Featuring Lil' Kim,spotify:track:0cv1Mnb47oMvjVKMc2cyZw,0.8590000000000001,0.6579999999999999,8,-4.481,1,0.192,0.0326,0.0018100000000000002,0.0651,0.5379999999999999,98.98899999999999,255267,4,28.70291,9,1,2000
689,Ain’t No Punk,Do Or Die,spotify:track:3HBqW9YwtLl92snLI9PEuu,0.862,0.633,6,-6.152,1,0.121,0.0401,1.38e-06,0.132,0.24600000000000002,129.91299999999998,249533,4,19.00151,10,0,2000
690,Main Naiyon Bolna,Bally Sagoo,spotify:track:6b04yst6iSkPBN5gXUw60v,0.818,0.517,7,-7.196000000000001,1,0.10800000000000001,0.0587,0.00139,0.13,0.52,92.99700000000001,357093,4,38.89224,15,0,2000
691,You're Beautiful,James Blunt,spotify:track:7j6C8ITuzhA7GHmj2z9mSd,0.66,0.183,3,-15.238,1,0.068,0.9940000000000001,0.9279999999999999,0.11900000000000001,0.218,78.936,177066,4,28.334640000000004,10,1,2000
692,Yo (Excuse Me Miss),Chris Brown,spotify:track:7DFnq8FYhHMCylykf6ZCxA,0.536,0.612,4,-5.847,1,0.272,0.11900000000000001,0.0,0.209,0.57,86.76799999999999,229040,4,41.29358,11,1,2000
693,If You Ever Stop Loving Me,Montgomery Gentry,spotify:track:7zywdG4ysfC5XNBzjQAo2o,0.44299999999999995,0.885,7,-6.172000000000001,1,0.0414,0.12300000000000001,3.09e-05,0.28,0.536,185.03400000000002,202760,4,44.8832,9,1,2000
694,She Never Cried In Front Of Me,Toby Keith,spotify:track:4CA1ZvDNhoaCJcozvGP8WH,0.45799999999999996,0.621,7,-4.553,1,0.0306,0.374,0.0,0.0999,0.34,145.904,239507,4,53.252030000000005,11,1,2000
695,Get The Party Started,P!nk,spotify:track:02jcEwywffn3Tsb48fXmlW,0.802,0.904,11,-3.267,0,0.0459,0.00108,0.0,0.17300000000000001,0.961,128.931,192533,4,72.87538,7,1,2000
696,We Made You,Eminem,spotify:track:4UMTp91LHhvW33ol9ZQH0Q,0.924,0.853,2,-1.203,1,0.0792,0.107,1.45e-06,0.129,0.67,114.00299999999999,269613,4,26.346729999999997,13,1,2000
697,Oklahoma,Billy Gilman,spotify:track:2TIzsX5IvHW2ppG5PD7Qma,0.42,0.268,1,-10.217,1,0.0332,0.484,0.0,0.0892,0.27,138.595,244000,4,44.34768,11,1,2000
698,She Let Herself Go,George Strait,spotify:track:1mIQiN9xMz58kfQO6wjOeX,0.659,0.5720000000000001,6,-7.817,0,0.0252,0.0888,1.0800000000000002e-05,0.0813,0.386,113.98700000000001,198213,4,28.14129,9,1,2000
699,Big Girls Don't Cry,Fergie,spotify:track:3Q4WeJmzxuDpzMu9QjQqbM,0.708,0.6409999999999999,7,-4.296,1,0.0336,0.205,0.0,0.0945,0.253,113.08200000000001,268120,4,74.80411,10,1,2000
700,Sweet And Low,Augustana,spotify:track:1W4c3lEi67BG5Ev7CgYqNi,0.44299999999999995,0.727,11,-4.455,1,0.0315,0.00572,0.0008449999999999999,0.106,0.40700000000000003,151.93,214067,4,30.76823,11,1,2000
701,Djazeria,Mon Cote Punk,spotify:track:2UHz6N97V7BVINyGvs1pHi,0.7290000000000001,0.7490000000000001,11,-6.651,0,0.20800000000000002,0.664,0.0,0.132,0.7929999999999999,85.965,193187,4,32.40331,9,0,2000
702,Already Gone,Sugarland,spotify:track:6Gd842MwS4ySeBdQTU09sh,0.48,0.596,1,-5.843999999999999,1,0.03,0.214,1.06e-05,0.151,0.332,154.769,275867,3,31.39965,12,1,2000
703,After Party,Koffee Brown,spotify:track:5cvMzT7kEvcxcdtcJz1vQY,0.802,0.552,5,-4.796,0,0.0503,0.0492,1.7e-06,0.0224,0.601,105.48100000000001,214560,4,45.953990000000005,7,1,2000
704,I Love Rock,Oneida,spotify:track:7now6xoy3GNgJHvwSxPqbu,0.131,0.9490000000000001,9,-6.242999999999999,1,0.12,0.000824,0.47600000000000003,0.142,0.14800000000000002,187.127,230240,3,51.115840000000006,9,0,2000
705,Never Wanted Nothing More,Kenny Chesney,spotify:track:2q49JWdTqa951SdCXZW44g,0.528,0.742,7,-7.044,1,0.0526,0.0412,1.99e-05,0.23600000000000002,0.746,177.842,207720,4,21.1097,11,1,2000
706,At The End Of The Day,Amon Tobin,spotify:track:2kmOzndbVl8GomtgVGmEHS,0.465,0.78,8,-7.064,1,0.0323,0.264,3.68e-05,0.35,0.32899999999999996,81.98899999999999,192200,4,50.52402,7,0,2000
707,Bizarre Disco Junky,Synapscape,spotify:track:6fFHtMdeFXk26WxooZFzhm,0.331,0.752,5,-4.438,1,0.11,0.000246,0.0678,0.146,0.28600000000000003,119.38799999999999,294040,1,56.4155,10,0,2000
708,Suspended by the Throat,Job For A Cowboy,spotify:track:3mdrXhIO3XOoS8MMSx8o12,0.304,0.9570000000000001,7,-4.909,1,0.203,2.51e-05,0.8290000000000001,0.18100000000000002,0.299,117.573,255120,3,45.05235,11,0,2000
709,Velonica,Aqua Timez,spotify:track:2wKFFJkshZruKwGWnXFtqE,0.489,0.914,7,-4.188,1,0.0483,0.000183,0.0,0.13699999999999998,0.545,136.917,281173,4,21.503989999999998,14,0,2000
710,You Can't Take The Honky Tonk Out Of The Girl,Brooks & Dunn,spotify:track:56LfnhlS3xvjtCpXWOxleW,0.574,0.9490000000000001,5,-2.799,1,0.0383,0.00881,3.82e-05,0.27699999999999997,0.755,114.271,208933,4,19.52347,12,1,2000
711,January 1979,mewithoutYou,spotify:track:0BMzC3hYff1zj2MsllexiU,0.45299999999999996,0.956,4,-4.973,1,0.0666,0.0014,0.877,0.0997,0.26899999999999996,81.529,206440,4,36.69378,8,0,2000
712,Living to Die,Vision Of Disorder,spotify:track:3w8lbCMKWBMu40MoNyV0Il,0.248,0.8809999999999999,5,-5.147,0,0.076,4.7600000000000005e-05,3.72e-05,0.10099999999999999,0.34700000000000003,102.913,246467,4,68.94163,8,0,2000
713,Touch My Body,Mariah Carey,spotify:track:2H1l4JczUDbiWfQtQElB05,0.715,0.665,4,-7.736000000000001,0,0.0502,0.0996,0.0,0.22399999999999998,0.84,78.502,204733,4,25.27818,12,1,2000
714,Slaughtered Corpse,Slaughter Lord,spotify:track:2tWnDCm1VSwcVNB7l8DES2,0.172,0.889,2,-10.191,1,0.0851,2.6700000000000002e-05,0.7659999999999999,0.27399999999999997,0.174,117.694,216587,4,32.29776,11,0,2000
715,The Aftermath,Origin,spotify:track:5y25DV4hGYUizcnAH1kFgM,0.366,0.94,1,-8.244,1,0.11599999999999999,2.01e-06,0.815,0.114,0.142,130.224,274800,4,48.519909999999996,12,0,2000
716,Dumbledore's Farewell,Nicholas Hooper,spotify:track:0bmb8jg6ljmt8qBmIsMNvL,0.237,0.062,9,-22.176,0,0.0513,0.41700000000000004,0.893,0.17800000000000002,0.0357,114.738,142253,3,37.64359,6,0,2000
717,(David Bowie I Love You) Since I Was Six,The Brian Jonestown Massacre,spotify:track:5FQ1ZPkIyYss4XhhDBvnC5,0.201,0.647,10,-6.8420000000000005,1,0.0363,0.000926,7.900000000000001e-05,0.17600000000000002,0.32,115.609,203933,4,47.42454,9,0,2000
718,Do You Want To,Franz Ferdinand,spotify:track:0vek0LcCbvcMtj0GkXMMJy,0.413,0.9420000000000001,0,-2.8710000000000004,1,0.0453,0.0783,0.000412,0.6890000000000001,0.759,123.085,215000,4,80.74815,7,1,2000
719,Walking On A Dream,Empire of the Sun,spotify:track:6A6qBFJHid4WutQu6HHEZt,0.87,0.6990000000000001,5,-5.541,0,0.0459,0.245,6.76e-06,0.0588,0.726,126.96700000000001,198440,4,31.29151,9,0,2000
720,Swear It Again,Westlife,spotify:track:2x1D20z93vGEjtTP07GOOr,0.626,0.532,9,-7.205,1,0.0276,0.29600000000000004,0.0,0.12300000000000001,0.33,130.076,247933,4,23.078139999999998,10,1,2000
721,Your Body,Pretty Ricky,spotify:track:5y4TDQdYzlT4eoQIPOgNDz,0.838,0.594,4,-5.695,0,0.113,0.17600000000000002,0.0,0.0867,0.507,90.038,240040,4,32.77037,10,1,2000
722,Jupiter Room - Martian Assault Edit,Digitalism,spotify:track:6IEnMBmoXs2ZMohvqg8WxL,0.872,0.677,9,-6.417000000000001,1,0.24600000000000002,0.000995,0.8809999999999999,0.081,0.324,124.959,349880,4,49.03761,14,0,2000
723,Get'cha Head In The Game,Andrew Seeley,spotify:track:74DXAIMTlcfWfXXJbDtaiZ,0.799,0.946,1,-6.892,1,0.23600000000000002,0.0321,3.36e-06,0.9259999999999999,0.28800000000000003,113.02799999999999,203907,4,74.25023,7,1,2000
724,U Understand,Juvenile,spotify:track:5V6r4UQ0z7gxkkREnza5Y0,0.9009999999999999,0.8290000000000001,5,-4.0360000000000005,0,0.146,0.0585,0.0,0.0498,0.674,99.766,259293,4,51.05927,13,1,2000
725,My Way,Limp Bizkit,spotify:track:2gSVKxPDww9Eep5rdvtdem,0.5760000000000001,0.8640000000000001,6,-3.9810000000000003,1,0.0462,0.02,1.68e-06,0.6829999999999999,0.609,97.225,272973,4,62.47095,9,1,2000
726,Hero,Chad Kroeger Featuring Josey Scott,spotify:track:779ooI3rBd0CLqCiiJmtVo,0.42700000000000005,0.843,4,-4.54,1,0.0364,0.00216,0.0,0.179,0.304,147.387,200480,3,51.697309999999995,10,1,2000
727,Rock del gato - Vivo,Ratones Paranoicos,spotify:track:6kH6b7sxXoccjzBikdwCJ3,0.483,0.9670000000000001,9,-3.467,1,0.0778,0.41600000000000004,0.10800000000000001,0.927,0.629,118.667,254773,4,85.72657,5,0,2000
728,Looking For You,Kirk Franklin,spotify:track:7lXbmBVZsyhxsxBzodG1w3,0.81,0.72,1,-4.793,1,0.0503,0.0138,0.0,0.221,0.805,121.984,246560,4,19.4207,11,1,2000
729,Dream On,Depeche Mode,spotify:track:17ZX2lirfQGxbPLcn25sf7,0.8109999999999999,0.563,10,-9.452,0,0.0412,0.271,0.00158,0.132,0.631,127.986,260680,4,39.19379,13,1,2000
730,Russian Roulette,Rihanna,spotify:track:3rMsX63C0IZVnOT5LGYoTH,0.48,0.486,6,-5.754,0,0.0447,0.046,0.0,0.107,0.265,80.051,227533,4,27.76427,7,1,2000
731,I'll Be Waiting,Lenny Kravitz,spotify:track:2HPVtKMWRlP1r9ODenvePM,0.677,0.452,10,-6.468,1,0.0332,0.0736,0.0065,0.0969,0.595,72.78,259187,4,39.45712,10,1,2000
732,Maula Mere Maula,Roop Kumar Rathod,spotify:track:5KNuHsIeFtD0oukst77hBi,0.5479999999999999,0.737,0,-7.865,1,0.0386,0.45799999999999996,0.00806,0.091,0.41200000000000003,119.961,364330,4,27.50818,16,0,2000
733,Why,Derdian,spotify:track:1ghLRWT56XTf5T7h9P0bdO,0.46299999999999997,0.551,1,-4.561,0,0.0317,0.0363,0.0,0.10099999999999999,0.22899999999999998,113.90100000000001,355120,4,55.65081,14,0,2000
734,The Pilgrim - 2015 Remaster,Iron Maiden,spotify:track:3v11n0mUl2VmWcnjiTzbGm,0.308,0.934,9,-4.145,0,0.0606,0.000306,0.0313,0.0863,0.541,97.848,307867,4,49.45041,14,0,2000
735,Keep Holding On,Avril Lavigne,spotify:track:4UPcXTh26ilb7owtuyHqNI,0.27399999999999997,0.7859999999999999,7,-2.354,1,0.0333,0.0374,0.0,0.14300000000000002,0.146,161.061,239907,3,35.03301,10,1,2000
736,Insatiable,Darren Hayes,spotify:track:4Q8yCpsxxJF0tRsjzu6Ytw,0.67,0.847,0,-5.449,0,0.0545,0.0974,0.0,0.0842,0.852,143.872,310227,4,57.89096,11,1,2000
737,O Gladsome Radience (kiev-pechersk Chant),Kiev Theological Academy & Seminary choir,spotify:track:5hVhG3zOH1IUHiWb6c9MvO,0.105,0.0694,8,-23.635,0,0.0393,0.992,0.0583,0.0938,0.0362,90.915,442053,3,58.37173000000001,20,0,2000
738,Calling All Angels,Train,spotify:track:0E29BKKGCJHcb7b9oIWgGB,0.45399999999999996,0.8390000000000001,3,-5.367999999999999,1,0.0441,0.0746,0.0,0.27899999999999997,0.529,166.166,242200,4,34.74606,8,1,2000
739,Touch It,Busta Rhymes,spotify:track:7HiUa9Gkk3QddHWT4jKiXd,0.6409999999999999,0.615,1,-7.475,1,0.389,0.0367,0.0,0.105,0.41100000000000003,68.938,240147,3,38.381409999999995,12,1,2000
740,When You Were Young,The Killers,spotify:track:70wYA8oYHoMzhRRkARoMhU,0.467,0.988,11,-3.313,1,0.11199999999999999,0.000152,0.0484,0.28,0.321,130.435,220427,4,20.0094,7,1,2000
741,Akkam Pakkam,Sadhana Sargam,spotify:track:3eeUvZTgP5uJfOMqI3sUVq,0.773,0.628,11,-6.737,0,0.0425,0.10800000000000001,0.00119,0.24600000000000002,0.588,119.96,316000,4,42.015640000000005,17,0,2000
742,She's Country,Jason Aldean,spotify:track:0PspNrE4MSjr1JeB4OW0jn,0.5529999999999999,0.872,1,-2.832,0,0.0782,0.198,0.0,0.0659,0.638,172.138,220573,4,21.84293,12,1,2000
743,Few and Far Between,Shutdown,spotify:track:3DNCnnOLmDRtm3WHId4Gib,0.42,0.973,2,-4.524,1,0.142,0.000162,0.0357,0.0969,0.336,94.212,172427,4,7.67978,3,0,2000
744,Pushin' Me Away,Jonas Brothers,spotify:track:6IxbD3Vdv7AIYC11ABftOW,0.473,0.903,7,-6.122999999999999,1,0.0678,0.0145,1.23e-06,0.195,0.452,161.95600000000002,183120,4,28.2859,6,1,2000
745,Sick Of Being Lonely,Field Mob,spotify:track:0rBzABScu9c6D1Juislm2z,0.6920000000000001,0.9209999999999999,8,-4.853,1,0.105,0.0016,2.05e-05,0.299,0.856,173.83700000000002,229160,4,40.9831,13,1,2000
746,Problematic,All,spotify:track:4RMmoTW92A1hffg29g2net,0.434,0.9890000000000001,2,-3.91,1,0.182,0.0395,6.34e-06,0.18600000000000003,0.32799999999999996,111.514,82533,4,26.07456,5,0,2000
747,Just LIke Dr. Jones,International Superheroes Of Hardcore,spotify:track:5XKfNFtrN8a7alzhO8ewGr,0.179,0.868,10,-4.234,1,0.0648,4.01e-05,0.0,0.0903,0.531,172.422,66173,4,19.92164,4,0,2000
748,Always On Time,Ja Rule Featuring Ashanti,spotify:track:4hrae8atte6cRlSC9a7VCO,0.84,0.706,5,-6.104,0,0.2,0.20800000000000002,0.0,0.24100000000000002,0.8390000000000001,96.67299999999999,245133,4,42.91774,8,1,2000
749,The Next Episode,Dr. Dre Featuring Snoop Dogg,spotify:track:4LwU4Vp6od3Sb08CsP99GC,0.922,0.909,10,-2.4290000000000003,0,0.27,0.0281,0.0,0.0856,0.309,95.295,161507,4,73.03954,6,1,2000
750,"Terzett, Op. 10: II. Dreher",Joseph Küffner,spotify:track:0D480PwG5JodF52u9x7FpT,0.502,0.0526,0,-22.677,1,0.0443,0.99,0.932,0.0763,0.325,84.49,102493,4,45.63817,5,0,2000
751,You'll Be There,George Strait,spotify:track:6ljgpSnKrzvpigdjt0rCkF,0.583,0.48100000000000004,4,-8.822000000000001,1,0.0276,0.264,0.0,0.11900000000000001,0.172,98.90899999999999,257493,4,79.12210999999999,11,1,2000
752,Poppin',Chris Brown Featuring Jay Biz,spotify:track:7vGRXiYWFk6NjUnsNjQJQd,0.767,0.419,9,-3.011,0,0.0369,0.00895,0.0,0.0521,0.547,122.963,265333,4,35.88071,11,1,2000
753,Ganesh Vandana,Brahmins,spotify:track:0hViEu5RuAx4Awe2ZJ5BRI,0.428,0.46299999999999997,8,-9.594,1,0.0436,0.7709999999999999,0.0,0.0899,0.0701,119.61,515106,3,39.51076,15,0,2000
754,Grind With Me,Pretty Ricky,spotify:track:3B7i9OKRRmIsSBHEbJz58Y,0.7,0.5379999999999999,1,-5.952000000000001,1,0.045,0.000204,0.0,0.105,0.18899999999999997,136.518,237733,4,30.0575,11,1,2000
755,Bootylicious,Destiny's Child,spotify:track:31CsLSgn0HdZEVC8Bnnmvr,0.835,0.833,1,-4.364,0,0.284,0.00247,0.0,0.171,0.586,103.35799999999999,207733,4,26.352940000000004,9,1,2000
756,"Serenata concertante in E Minor, Op. 105: VI. Marcia- Allegro moderato - Artaria Trio",Anton Diabelli,spotify:track:2EKLBatNcnStYZUR75Xdty,0.519,0.0248,4,-24.994,1,0.0567,0.9890000000000001,0.737,0.0827,0.397,124.92,355667,4,35.17017,18,0,2000
757,Offering Chant - Unplugged,Lama Gyurme,spotify:track:169rPv0jBiT1Q0r2srVwiG,0.467,0.102,1,-14.600999999999999,1,0.0328,0.9840000000000001,0.000266,0.11800000000000001,0.272,114.15700000000001,315400,4,53.20646,10,0,2000
758,Offerrök,Fejd,spotify:track:0iKKePvWWbU9hP5VqWBn7I,0.507,0.932,2,-4.376,1,0.0398,0.0107,0.000918,0.0382,0.263,107.96,339200,4,35.2483,15,0,2000
759,Three Cheers For Five Years,Mayday Parade,spotify:track:3hJoAM3O7q1i70lJRf8Cky,0.36,0.505,11,-5.485,1,0.0314,0.616,0.0,0.326,0.382,69.126,290787,4,37.338190000000004,10,0,2000
760,Pachchadanamey,Hariharan,spotify:track:49nQCpklrhXuaK5s1TQwOl,0.5379999999999999,0.48700000000000004,1,-13.105,0,0.0643,0.409,0.00016,0.39399999999999996,0.521,175.925,357947,4,34.78642,21,0,2000
761,I'm Throwed,Paul Wall Featuring Jermaine Dupri,spotify:track:3n5rIcC04MiNx4T2GOS06g,0.7390000000000001,0.777,4,-5.7,0,0.239,0.0135,0.0,0.134,0.7559999999999999,82.01,231307,4,28.28997,11,1,2000
762,Welcome To My Life,Simple Plan,spotify:track:714Lw0m2SmCEhKSPw0Dn8J,0.42100000000000004,0.858,1,-4.535,1,0.0963,0.0134,0.0,0.067,0.491,173.255,206773,4,35.10835,9,1,2000
763,According To You,Orianthi,spotify:track:72phhQtfwZcRweweRxxkmU,0.619,0.917,5,-2.582,1,0.0507,0.0233,1.21e-05,0.0986,0.552,131.002,200347,4,33.97347,7,1,2000
764,Lights & Music,Cut Copy,spotify:track:2dngx6srtqsxvyh7oGV8FM,0.601,0.9470000000000001,10,-4.258,0,0.0399,0.0543,0.17300000000000001,0.782,0.5660000000000001,126.023,277360,4,30.986279999999997,12,0,2000
765,The Climb,Miley Cyrus,spotify:track:0V8FYVlBFuXXTIvRnMbZyS,0.327,0.588,4,-6.611000000000001,1,0.0336,0.0834,0.0,0.10400000000000001,0.32899999999999996,161.07399999999998,236067,4,40.07128,11,1,2000
766,Flashing Lights,Kanye West Featuring Dwele,spotify:track:31I3Rt1bPa2LrE74DdNizO,0.639,0.628,6,-7.577999999999999,0,0.0399,0.0381,0.0,0.386,0.43,90.48200000000001,237507,4,31.82586,18,1,2000
767,Wild West Show,Big & Rich,spotify:track:0Z9YP4ntjcqlMCfgi5Eete,0.551,0.879,0,-1.395,1,0.0378,0.0261,2.43e-06,0.132,0.293,106.135,260813,4,72.49982,7,1,2000
768,1995,H2O,spotify:track:2qvZmhlxHdyBqAX5ZWjukK,0.531,0.991,9,-5.681,1,0.13,0.006,0.0,0.27899999999999997,0.257,111.99799999999999,154000,4,93.37847,4,0,2000
769,Kegyetlen asszony,Pokolgép,spotify:track:4YjarMRsOAXZdux8vE4g4k,0.40399999999999997,0.778,9,-5.405,1,0.0365,0.00035,1.15e-05,0.257,0.821,148.188,286573,4,22.01576,15,0,2000
770,Spirited Away - The Sixth Station,Joe Hisaishi,spotify:track:5EWcBYfePistjwchTjLjzo,0.314,0.0273,4,-27.305999999999997,0,0.0354,0.9259999999999999,0.8,0.126,0.0399,77.708,228253,4,22.20585,11,0,2000
771,Walk It Out,Unk,spotify:track:6lSylu4qTmLBGQB1zp5oCi,0.794,0.777,1,-3.696,0,0.0813,0.0982,0.0,0.20199999999999999,0.706,160.02200000000002,173040,4,38.70551,8,1,2000
772,Bowling For Peace,Prasanna,spotify:track:7AkQooU3Nmt0TpXMAdTqiH,0.349,0.44299999999999995,3,-15.045,1,0.0328,0.9640000000000001,0.925,0.0872,0.657,135.03,426413,4,30.062829999999998,21,0,2000
773,What Goes Around...Comes Around,Justin Timberlake,spotify:track:3pD0f7hSJg2XdQ6udw5Tey,0.687,0.723,7,-4.751,1,0.0709,0.122,0.0010199999999999999,0.573,0.43200000000000005,76.0,448573,4,31.73041,18,1,2000
774,"Serenata concertante in E Minor, Op. 105: II. Allegro moderato",Anton Diabelli,spotify:track:5JjmjeQ2p3CFEaSfEgkNNt,0.44299999999999995,0.045,7,-24.951,1,0.0406,0.991,0.794,0.113,0.449,115.223,366000,4,72.82041,17,0,2000
775,Pride (Times Are Changing),Madball,spotify:track:0gKATHq1UtBZlFESbxP0En,0.39399999999999996,0.988,8,-4.948,1,0.0661,0.00937,7.97e-06,0.188,0.33799999999999997,149.817,158240,4,34.19064,7,0,2000
776,I'm Gonna Be Alright,Jennifer Lopez Featuring Nas,spotify:track:2UbFyKS0gTj9NcGLO4NpyZ,0.843,0.612,10,-4.71,0,0.157,0.0573,0.000305,0.154,0.7909999999999999,93.975,200200,4,60.259080000000004,8,1,2000
777,Greedy Awful People,The Stooges,spotify:track:7mxm3S1NcLBDekOcEnd4Wr,0.335,0.9540000000000001,7,-8.08,1,0.105,0.0006129999999999999,0.0,0.114,0.644,156.047,127106,4,26.70239,8,0,2000
778,Forgotten Scriptures,Disgorge,spotify:track:1fTG9HSw7saP8GIScPkGt2,0.24,0.9840000000000001,5,-8.998,1,0.138,0.000204,0.877,0.20199999999999999,0.0363,136.05100000000002,278853,4,65.05711,15,0,2000
779,Aquí,Allison,spotify:track:5UXDQ8f5UN5FNZ48WHmrMC,0.38299999999999995,0.742,10,-5.5889999999999995,1,0.043,0.0207,0.0,0.10099999999999999,0.28300000000000003,180.142,240267,4,26.95208,12,0,2000
780,Private Emotion,Ricky Martin Featuring Meja,spotify:track:1rjHJSGgt10GAtgLrDtHTM,0.51,0.726,1,-7.0,1,0.0337,0.265,0.0,0.0911,0.489,146.553,241000,4,59.99771,11,1,2000
781,Bemoaned Animosity,Final Breath,spotify:track:5LF4eVyrf9k1ZbzlNZ6Yyx,0.44,0.981,2,-1.354,1,0.145,2.56e-05,0.00403,0.2,0.32799999999999996,117.68799999999999,253867,4,45.23455,11,0,2000
